investor,investor_name,tag
207,青锐创投,AI技术层
207,青锐创投,Seed
207,青锐创投,0-100M
16,Amadeus Capital Partners,AI技术层
16,Amadeus Capital Partners,Seed
16,Amadeus Capital Partners,0-100M
194,Zetta Venture Partners,AI技术层
194,Zetta Venture Partners,Seed
194,Zetta Venture Partners,0-100M
170,Symvan Capital,AI技术层
170,Symvan Capital,Seed
170,Symvan Capital,0-100M
108,MD One Ventures,AI技术层
108,MD One Ventures,Seed
108,MD One Ventures,0-100M
95,Kadmos Capital,AI技术层
95,Kadmos Capital,Seed
95,Kadmos Capital,0-100M
12,Ahren,AI技术层
12,Ahren,Seed
12,Ahren,0-100M
19,Andreessen Horowitz-a16z,AI基础层
19,Andreessen Horowitz-a16z,AI技术层
19,Andreessen Horowitz-a16z,AI行业应用
19,Andreessen Horowitz-a16z,Seed
19,Andreessen Horowitz-a16z,A Series
19,Andreessen Horowitz-a16z,B Series
19,Andreessen Horowitz-a16z,10B+
19,Andreessen Horowitz-a16z,0-100M
19,Andreessen Horowitz-a16z,100M-200M
19,Andreessen Horowitz-a16z,200M-300M
19,Andreessen Horowitz-a16z,300M-400M
19,Andreessen Horowitz-a16z,1B-2B
45,Conviction Partners,AI基础层
45,Conviction Partners,Seed
45,Conviction Partners,10B+
208,高通Qualcomm,AI行业应用
208,高通Qualcomm,Seed
208,高通Qualcomm,0-100M
71,General Catalyst Partners,AI行业应用
71,General Catalyst Partners,AIGC
71,General Catalyst Partners,Seed
71,General Catalyst Partners,A Series
71,General Catalyst Partners,B Series
71,General Catalyst Partners,0-100M
71,General Catalyst Partners,100M-200M
71,General Catalyst Partners,500M-600M
71,General Catalyst Partners,1B-2B
71,General Catalyst Partners,600M-700M
104,Lux Capital,AI行业应用
104,Lux Capital,AIGC
104,Lux Capital,Seed
104,Lux Capital,A Series
104,Lux Capital,B Series
104,Lux Capital,0-100M
104,Lux Capital,100M-200M
104,Lux Capital,1B-2B
165,SpeedInvest,AI技术层
165,SpeedInvest,Seed
165,SpeedInvest,0-100M
55,EVC,AI技术层
55,EVC,Seed
55,EVC,0-100M
172,TEDCO,AI行业应用
172,TEDCO,Seed
172,TEDCO,0-100M
134,Prime Set,AI行业应用
134,Prime Set,Seed
134,Prime Set,0-100M
186,WVC,AI行业应用
186,WVC,AI技术层
186,WVC,Seed
186,WVC,B Series
186,WVC,0-100M
186,WVC,300M-400M
48,Decibel Partners,AI行业应用
48,Decibel Partners,Seed
48,Decibel Partners,0-100M
122,Newfund Capital,AI行业应用
122,Newfund Capital,Seed
122,Newfund Capital,0-100M
27,BPI France,AI行业应用
27,BPI France,Seed
27,BPI France,0-100M
87,INCO Ventures,AI行业应用
87,INCO Ventures,Seed
87,INCO Ventures,0-100M
176,Thrive capital,AI技术层
176,Thrive capital,Seed
176,Thrive capital,0-100M
157,Seven Seven Six,AI技术层
157,Seven Seven Six,Seed
157,Seven Seven Six,0-100M
98,Khosla Ventures,AI技术层
98,Khosla Ventures,AI行业应用
98,Khosla Ventures,Seed
98,Khosla Ventures,B Series
98,Khosla Ventures,100M-200M
98,Khosla Ventures,0-100M
168,Susa Ventures,AI技术层
168,Susa Ventures,Seed
168,Susa Ventures,A Series
168,Susa Ventures,0-100M
7,Abstract Ventures,AI技术层
7,Abstract Ventures,AI行业应用
7,Abstract Ventures,Seed
7,Abstract Ventures,A Series
7,Abstract Ventures,B Series
7,Abstract Ventures,0-100M
7,Abstract Ventures,200M-300M
7,Abstract Ventures,300M-400M
36,Calibrate Ventures,AI行业应用
36,Calibrate Ventures,Seed
36,Calibrate Ventures,0-100M
128,Peak XV Partners,AI行业应用
128,Peak XV Partners,Seed
128,Peak XV Partners,0-100M
68,GSV,AI行业应用
68,GSV,Seed
68,GSV,0-100M
175,The House Fund,AI行业应用
175,The House Fund,Seed
175,The House Fund,0-100M
70,General Catalyst India,AI行业应用
70,General Catalyst India,Seed
70,General Catalyst India,0-100M
26,BDC Venture Capital,AI行业应用
26,BDC Venture Capital,Seed
26,BDC Venture Capital,0-100M
89,Impact Venture Capital,AI行业应用
89,Impact Venture Capital,Seed
89,Impact Venture Capital,0-100M
85,Hitachi Ventures,AI行业应用
85,Hitachi Ventures,Seed
85,Hitachi Ventures,0-100M
84,Hazelview Ventures,AI行业应用
84,Hazelview Ventures,Seed
84,Hazelview Ventures,0-100M
59,Exposition Ventures,AI行业应用
59,Exposition Ventures,Seed
59,Exposition Ventures,0-100M
131,Point72 Ventures,AI行业应用
131,Point72 Ventures,Seed
131,Point72 Ventures,100M-200M
158,Sheva Capital,AI行业应用
158,Sheva Capital,Seed
158,Sheva Capital,100M-200M
171,Synchrony Ventures,AI行业应用
171,Synchrony Ventures,Seed
171,Synchrony Ventures,100M-200M
42,Cerca Partners,AI行业应用
42,Cerca Partners,Seed
42,Cerca Partners,100M-200M
159,Shine Capital,AI行业应用
159,Shine Capital,Seed
159,Shine Capital,100M-200M
78,Greycroft Partners,AI技术层
78,Greycroft Partners,Seed
78,Greycroft Partners,0-100M
195,betaworks,AI技术层
195,betaworks,Seed
195,betaworks,0-100M
189,White Star Capital,AI技术层
189,White Star Capital,Seed
189,White Star Capital,0-100M
183,VariantFund,AI技术层
183,VariantFund,Seed
183,VariantFund,0-100M
116,Mozilla Ventures,AI技术层
116,Mozilla Ventures,Seed
116,Mozilla Ventures,0-100M
152,Seed Club Ventures,AI技术层
152,Seed Club Ventures,Seed
152,Seed Club Ventures,0-100M
52,Differential Ventures,AI技术层
52,Differential Ventures,Seed
52,Differential Ventures,0-100M
198,iNovia Capital,AI行业应用
198,iNovia Capital,Seed
198,iNovia Capital,0-100M
60,Felicis Ventures,AI行业应用
60,Felicis Ventures,AI技术层
60,Felicis Ventures,AI基础层
60,Felicis Ventures,Seed
60,Felicis Ventures,A Series
60,Felicis Ventures,B Series
60,Felicis Ventures,0-100M
60,Felicis Ventures,300M-400M
60,Felicis Ventures,600M-700M
190,Wilson Hill,AI行业应用
190,Wilson Hill,Seed
190,Wilson Hill,0-100M
199,加州理工学院,AI行业应用
199,加州理工学院,Seed
199,加州理工学院,0-100M
138,Radical Ventures,AI技术层
138,Radical Ventures,AI基础层
138,Radical Ventures,Seed
138,Radical Ventures,B Series
138,Radical Ventures,0-100M
138,Radical Ventures,1B-2B
200,李飞飞,AI技术层
200,李飞飞,Seed
200,李飞飞,0-100M
93,Jeff Dean,AI技术层
93,Jeff Dean,Seed
93,Jeff Dean,0-100M
156,Sequoia Capital红杉,AI行业应用
156,Sequoia Capital红杉,AI技术层
156,Sequoia Capital红杉,Seed
156,Sequoia Capital红杉,A Series
156,Sequoia Capital红杉,B Series
156,Sequoia Capital红杉,0-100M
156,Sequoia Capital红杉,300M-400M
156,Sequoia Capital红杉,10B+
54,EQT Ventures,AI行业应用
54,EQT Ventures,Seed
54,EQT Ventures,0-100M
69,GTMFund,AI行业应用
69,GTMFund,Seed
69,GTMFund,0-100M
130,Point Nine Capital,AI技术层
130,Point Nine Capital,Seed
130,Point Nine Capital,100M-200M
46,Costanoa Ventures,AI技术层
46,Costanoa Ventures,Seed
46,Costanoa Ventures,100M-200M
153,Seedcamp,AI技术层
153,Seedcamp,Seed
153,Seedcamp,100M-200M
123,Nicolas Dessaigne,AI技术层
123,Nicolas Dessaigne,Seed
123,Nicolas Dessaigne,100M-200M
188,Wes McKinney,AI技术层
188,Wes McKinney,Seed
188,Wes McKinney,100M-200M
127,Oliver Cameron,AI技术层
127,Oliver Cameron,Seed
127,Oliver Cameron,100M-200M
58,Eric Jang,AI技术层
58,Eric Jang,Seed
58,Eric Jang,100M-200M
79,Guillermo Rauch,AI技术层
79,Guillermo Rauch,Seed
