Startup,Sector,Funding stage,"Funding amount (RMB '0,000)",Investors
Pimloc,AI技术层,Seed,3250,"青锐创投,Amadeus Capital Partners,Zetta Venture Partners ,Symvan Capital,MD One Ventures"
OutSee,AI技术层,Seed,1584,"Kadmos Capital,Ahren"
Thinking Machines Lab,AI基础层,Seed,1300000,"Andreessen Horowitz-a16z,Conviction Partners"
Context.,AI行业应用,Seed,7150,"高通Qualcomm,General Catalyst Partners,Lux Capital"
Spaitial,AI技术层,Seed,8450,"SpeedInvest ,EVC"
Pixee,AI行业应用,Seed,9750,"TEDCO ,Prime Set,WVC,Decibel Partners"
PyxiScience,AI行业应用,Seed,1560,"Newfund Capital ,BPI France,INCO Ventures"
Doji,AI技术层,Seed,9100,"Thrive capital,Seven Seven Six"
Fastino,AI技术层,Seed,11375,Khosla Ventures
Cluely,AI技术层,Seed,3445,"Susa Ventures,Abstract Ventures"
SiglQ.ai,AI行业应用,Seed,6175,"Calibrate Ventures,Peak XV Partners ,GSV,The House Fund ,General Catalyst India"
Xaba,AI行业应用,Seed,3900,"BDC Venture Capital,Impact Venture Capital ,Hitachi Ventures ,Hazelview Ventures,Exposition Ventures"
Bliss Aesthetics,AI行业应用,Seed,11375,"Point72 Ventures ,Sheva Capital,Synchrony Ventures,Cerca Partners,Shine Capital"
Plastic,AI技术层,Seed,3478,"Greycroft Partners,betaworks,White Star Capital,VariantFund ,Mozilla Ventures,Seed Club Ventures,Differential Ventures"
Tera AI,AI行业应用,Seed,5070,"iNovia Capital,Felicis Ventures ,Wilson Hill,加州理工学院"
Yutori.AI,AI技术层,Seed,9750,"Felicis Ventures,Radical Ventures,李飞飞 ,Jeff Dean"
Paid,AI行业应用,Seed,7150,"Sequoia Capital红杉,EQT Ventures ,GTMFund"
Rerun,AI技术层,Seed,11050,"Point Nine Capital,Costanoa Ventures,Seedcamp ,Nicolas Dessaigne,Wes McKinney,Oliver Cameron,Eric Jang,Guillermo Rauch,Sunflower Capital"
ONYX,AI行业应用,Seed,7800,"First Round Capital,Khosla Ventures,Y Combinator"
Mito Health,AI行业应用,Seed,1430,"Y Combinator,XA Network ,Forge Ventures,Dhruv Arora,Prashanth Prakash,Alex Svanevik,Nas Daily,Kevin Aluwi,Nir Eyal,Balaji Srinivasan,Capital X"
Traversal,AI技术层,A Series,31200,"Kleiner Perkins Caufield & Byers(KPCB全球),Sequoia Capital红杉 ,Hanabi Capital,NFDG Ventures"
Campfire Software,AI行业应用,A Series,22750,"Accel Partners,Y Combinator,Foundation Capital,Capital 49"
Chatlyn,AI行业应用,A Series,6240,"Smedvig Ventures ,Blaguss"
Centific,AI行业应用,A Series,39000,Granite Asia
Cluely,AI技术层,A Series,9750,"Andreessen Horowitz-a16z,Susa Ventures,Abstract Ventures"
Outset AI,AI行业应用,A Series,11050,"Y Combinator,8VC ,Adverb Ventures,Future Back Ventures by Bain & Company"
Multiplier Holdings,AI行业应用,A Series,17875,"Lightspeed Venture Partners光速全球,SV Angel,Ribbit Capital,EDBI"
Acorn Works,AI技术层,A Series,7995,Level Equity
Toma,AI技术层,A Series,11050,"Y Combinator,Andreessen Horowitz-a16z ,Flex Capital,Holman Growth Ventures,Scale Angels Fund,Unpopular Ventures"
Sema4.ai,AI技术层,A Series,16250,"Benchmark Capital,Mayfield Fund,Rocketship ,Snowflake Ventures"
Axiom AI,AI技术层,A Series,32500,B Capital Group
Chalk,AI基础层,A Series,32500,Felicis Ventures
Persist AI,AI行业应用,A Series,7800,"Y Combinator,Global Brain,SignalFire,Spero Ventures,礼来Eli Lilly ,Purdue Ventures,Ford Street Capital,Innospark Ventures,2048 Ventures,Asymmetry Ventures,Cartography Cap,Good AI Capital,MBX Capital"
Hedra,AI技术层,A Series,20800,"Index Ventures,Andreessen Horowitz-a16z,Abstract Ventures"
Inductive Bio,AI行业应用,A Series,16250,"Lux Capital,Obvious Ventures ,Andreessen Horowitz（a16z）Bio+Health,Amino Collective,Character,S32"
Clarium,AI行业应用,A Series,17550,"Northzone Ventures,General Catalyst Partners,1984 Ventures,Kaiser Permanente Ventures,AlleyCorp ,TMCVF"
Scamnetic,AI通用应用,A Series,8450,"Roo Partners,SaaS Ventures,Riptide Ventures,Main Growth Partners"
Groundup.ai,AI行业应用,A Series,2763,"Seeds Capital ,Tin Men Capital ,Wavemaker Ventures"
BitradeX,AI行业应用,A Series,10560,贝恩资本BainCapital
