application_id,investor,investor_name
5097808c-4445-4f00-a54e-3c3f2c1c0d30,207,青锐创投
5097808c-4445-4f00-a54e-3c3f2c1c0d30,16,Amadeus Capital Partners
5097808c-4445-4f00-a54e-3c3f2c1c0d30,194,Zetta Venture Partners
5097808c-4445-4f00-a54e-3c3f2c1c0d30,170,Symvan Capital
5097808c-4445-4f00-a54e-3c3f2c1c0d30,108,MD One Ventures
566b597c-cd7e-4f8f-a765-e579c1451412,95,Kadmos Capital
566b597c-cd7e-4f8f-a765-e579c1451412,12,Ahren
a95416f5-9e4e-4303-bb90-1ca54fd0ae40,19,Andreessen Horowitz-a16z
a95416f5-9e4e-4303-bb90-1ca54fd0ae40,45,Conviction Partners
a1f97b0b-36d2-4d4a-b9f0-6dc4820b42ce,208,高通Qualcomm
a1f97b0b-36d2-4d4a-b9f0-6dc4820b42ce,71,General Catalyst Partners
a1f97b0b-36d2-4d4a-b9f0-6dc4820b42ce,104,Lux Capital
9fd2276b-ef71-4934-971b-08e90e9302ef,165,SpeedInvest
9fd2276b-ef71-4934-971b-08e90e9302ef,55,EVC
00d7e9ac-1eb6-4652-9345-1eade3720e2e,172,TEDCO
00d7e9ac-1eb6-4652-9345-1eade3720e2e,134,Prime Set
00d7e9ac-1eb6-4652-9345-1eade3720e2e,186,WVC
00d7e9ac-1eb6-4652-9345-1eade3720e2e,48,Decibel Partners
25f19022-4576-4bb7-8cba-f66b8b0ef332,122,Newfund Capital
25f19022-4576-4bb7-8cba-f66b8b0ef332,27,BPI France
25f19022-4576-4bb7-8cba-f66b8b0ef332,87,INCO Ventures
4edc7241-4e82-4a95-afef-f5cfcf17a689,176,Thrive capital
4edc7241-4e82-4a95-afef-f5cfcf17a689,157,Seven Seven Six
d35307a9-0d7b-4e1e-9e57-3e274583106f,98,Khosla Ventures
83d4f88e-14d7-4c56-8024-03d24a843340,168,Susa Ventures
83d4f88e-14d7-4c56-8024-03d24a843340,7,Abstract Ventures
db7a0d14-52b5-4864-a071-3e4b12dd24ee,36,Calibrate Ventures
db7a0d14-52b5-4864-a071-3e4b12dd24ee,128,Peak XV Partners
db7a0d14-52b5-4864-a071-3e4b12dd24ee,68,GSV
db7a0d14-52b5-4864-a071-3e4b12dd24ee,175,The House Fund
db7a0d14-52b5-4864-a071-3e4b12dd24ee,70,General Catalyst India
653032d3-d26f-47b9-835c-c1b11268d3d9,26,BDC Venture Capital
653032d3-d26f-47b9-835c-c1b11268d3d9,89,Impact Venture Capital
653032d3-d26f-47b9-835c-c1b11268d3d9,85,Hitachi Ventures
653032d3-d26f-47b9-835c-c1b11268d3d9,84,Hazelview Ventures
653032d3-d26f-47b9-835c-c1b11268d3d9,59,Exposition Ventures
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,131,Point72 Ventures
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,158,Sheva Capital
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,171,Synchrony Ventures
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,42,Cerca Partners
edcfa041-ec38-45ac-886d-fcdc8dd4f43c,159,Shine Capital
5807b49e-0729-4110-93d1-ed62c3b1005e,78,Greycroft Partners
5807b49e-0729-4110-93d1-ed62c3b1005e,195,betaworks
5807b49e-0729-4110-93d1-ed62c3b1005e,189,White Star Capital
5807b49e-0729-4110-93d1-ed62c3b1005e,183,VariantFund
5807b49e-0729-4110-93d1-ed62c3b1005e,116,Mozilla Ventures
5807b49e-0729-4110-93d1-ed62c3b1005e,152,Seed Club Ventures
5807b49e-0729-4110-93d1-ed62c3b1005e,52,Differential Ventures
581ae7a4-dc7a-47c0-b450-b78f798d6816,198,iNovia Capital
581ae7a4-dc7a-47c0-b450-b78f798d6816,60,Felicis Ventures
581ae7a4-dc7a-47c0-b450-b78f798d6816,190,Wilson Hill
581ae7a4-dc7a-47c0-b450-b78f798d6816,199,加州理工学院
60730ec7-8b74-40d1-b80e-3d021b4c004b,60,Felicis Ventures
60730ec7-8b74-40d1-b80e-3d021b4c004b,138,Radical Ventures
60730ec7-8b74-40d1-b80e-3d021b4c004b,200,李飞飞
60730ec7-8b74-40d1-b80e-3d021b4c004b,93,Jeff Dean
9b03ba40-81e5-4f23-b91f-fa477c475cd7,156,Sequoia Capital红杉
9b03ba40-81e5-4f23-b91f-fa477c475cd7,54,EQT Ventures
9b03ba40-81e5-4f23-b91f-fa477c475cd7,69,GTMFund
0fa898d6-d8a6-4978-ac46-b031e84399ca,130,Point Nine Capital
0fa898d6-d8a6-4978-ac46-b031e84399ca,46,Costanoa Ventures
0fa898d6-d8a6-4978-ac46-b031e84399ca,153,Seedcamp
0fa898d6-d8a6-4978-ac46-b031e84399ca,123,Nicolas Dessaigne
0fa898d6-d8a6-4978-ac46-b031e84399ca,188,Wes McKinney
0fa898d6-d8a6-4978-ac46-b031e84399ca,127,Oliver Cameron
0fa898d6-d8a6-4978-ac46-b031e84399ca,58,Eric Jang
0fa898d6-d8a6-4978-ac46-b031e84399ca,79,Guillermo Rauch
0fa898d6-d8a6-4978-ac46-b031e84399ca,167,Sunflower Capital
3339ef35-f1df-4856-98b2-727dbdc66a1e,62,First Round Capital
3339ef35-f1df-4856-98b2-727dbdc66a1e,98,Khosla Ventures
3339ef35-f1df-4856-98b2-727dbdc66a1e,193,Y Combinator
383dfcb6-cd54-4328-943d-a3239588464d,193,Y Combinator
383dfcb6-cd54-4328-943d-a3239588464d,192,XA Network
383dfcb6-cd54-4328-943d-a3239588464d,65,Forge Ventures
383dfcb6-cd54-4328-943d-a3239588464d,51,Dhruv Arora
383dfcb6-cd54-4328-943d-a3239588464d,132,Prashanth Prakash
383dfcb6-cd54-4328-943d-a3239588464d,13,Alex Svanevik
383dfcb6-cd54-4328-943d-a3239588464d,119,Nas Daily
383dfcb6-cd54-4328-943d-a3239588464d,97,Kevin Aluwi
383dfcb6-cd54-4328-943d-a3239588464d,124,Nir Eyal
383dfcb6-cd54-4328-943d-a3239588464d,29,Balaji Srinivasan
383dfcb6-cd54-4328-943d-a3239588464d,40,Capital X
d7f3758e-e1bd-4252-9b2b-51d034b84b83,99,Kleiner Perkins Caufield & Byers(KPCB全球)
d7f3758e-e1bd-4252-9b2b-51d034b84b83,156,Sequoia Capital红杉
d7f3758e-e1bd-4252-9b2b-51d034b84b83,82,Hanabi Capital
d7f3758e-e1bd-4252-9b2b-51d034b84b83,118,NFDG Ventures
38690e45-81b9-4527-afc9-eae7101fc876,8,Accel Partners
38690e45-81b9-4527-afc9-eae7101fc876,193,Y Combinator
38690e45-81b9-4527-afc9-eae7101fc876,66,Foundation Capital
38690e45-81b9-4527-afc9-eae7101fc876,39,Capital 49
2d351afd-7023-4cc6-912a-669de21e4e55,163,Smedvig Ventures
2d351afd-7023-4cc6-912a-669de21e4e55,32,Blaguss
e16a20d5-5397-4c46-8c21-c975f4fb8c68,76,Granite Asia
5bca6548-7f55-4682-8d7d-f7feda522c8e,19,Andreessen Horowitz-a16z
5bca6548-7f55-4682-8d7d-f7feda522c8e,168,Susa Ventures
5bca6548-7f55-4682-8d7d-f7feda522c8e,7,Abstract Ventures
acd5dcbd-6451-4658-be23-102699c737bd,193,Y Combinator
acd5dcbd-6451-4658-be23-102699c737bd,3,8VC
acd5dcbd-6451-4658-be23-102699c737bd,10,Adverb Ventures
acd5dcbd-6451-4658-be23-102699c737bd,67,Future Back Ventures by Bain & Company
13ef3f5a-fb3e-46c9-ad1d-aefc5c17bcc5,103,Lightspeed Venture Partners光速全球
13ef3f5a-fb3e-46c9-ad1d-aefc5c17bcc5,146,SV Angel
13ef3f5a-fb3e-46c9-ad1d-aefc5c17bcc5,140,Ribbit Capital
