company,revenue_q1,revenue_q2,growth_rate,predicted_sales
AURELIUS TECHNOLOGIES BERHAD,"165,744,237","160,460,244",-0.0319," 147,853,367 "
BM GREENTECH BERHAD,"137,138,000","154,249,000",0.1248,"178,070,000"
BRITE-TECH BERHAD,"7,399,000","7,959,000",0.0757," 6,754,000 "
CELCOMDIGI BERHAD,"3,126,476,000","3,276,047,000",0.0478,"3,209,316,000"
COMPUGATES HOLDINGS BERHAD ,"5,306,000","5,991,000",0.1291,"5,666,000"
EA HOLDINGS BERHAD,"16,188,000","13,254,000",-0.1812,"13,708,000"
COSMOS TECHNOLOGY INTERNATIONAL BERHAD,"5,022,000","5,238,000",0.0430,"5,495,000"
TOP GLOVE CORPORATION BHD,"885,891,000","883,652,000",-0.0025,"830,251,000"
SNS NETWORK TECHNOLOGY BERHAD,"249,706,000","251,512,000",0.0072,"822,753,000"
MAGNI-TECH INDUSTRIES BERHAD,"350,826,000","370,712,000",0.0567,"326,377,000"
KUMPULAN H & L HIGH-TECH BERHAD,"5,999,000","7,069,000",0.1784,"6,334,000"
TECHBASE INDUSTRIES BERHAD,"37,521,000","64,612,000",0.7220,"60,323,000"
VISDYNAMICS HOLDINGS BERHAD,"3,342,000","3,327,000",-0.0045,"7,846,000"
V.S. INDUSTRY BERHAD,"1,110,831,000","908,797,000",-0.1819,"909,415,000"
UMEDIC GROUP BERHAD,"13,055,000","11,579,000",-0.1131,"11,640,000"
VINVEST CAPITAL HOLDINGS BERHAD,"5,959,000","8,309,000",0.3944,"7,693,000"
AGMO HOLDINGS BERHAD,"9,206,223","8,822,502",-0.0417,"11,775,053"
FINTEC GLOBAL BERHAD,"713,000","495,000",-0.3058,"2,690,000"
DIGISTAR CORPORATION BERHAD,"11,810,000","10,913,000",-0.0760,"9,433,000"
DAYTHREE DIGITAL BERHAD,"20,012,000","20,351,000",0.0169,"19,364,000"
XOX BHD,"66,875,000","62,156,000",-0.0706,"63,813,000"
PUC BERHAD,"4,869,000","5,305,000",0.0895,"17,011,000"
DGB ASIA BERHAD,"10,589,000","16,544,000",0.5624,"14,479,000"
HEITECH PADU BERHAD,"109,077,000","103,048,000",-0.0553,"73,879,000"
BINASAT COMMUNICATIONS BERHAD,"23,296,000","34,173,000",0.4669,"27,907,000"
LAMBO GROUP BERHAD ,"8,390,485","13,439,871",0.6018,"15,669,469"
KEY ALLIANCE GROUP BERHAD,"2,946,000","2,525,000",-0.1429,"2,248,000"
ALDRICH RESOURCES BERHAD,"3,656,000","6,240,000",0.7068,"4,075,000"
IRIS CORPORATION BERHAD,"40,502,000","56,759,000",0.4014,"42,153,000"
3REN BERHAD,"29,049,000","28,866,000",-0.0063,"22,182,000"
SECUREMETRIC BERHAD,"14,848,000","21,726,000",0.4632,"14,672,000"
SANICHI TECHNOLOGY BERHAD,"1,076,000","5,484,000",4.0967,"7,147,000"
INDUSTRONICS BERHAD,"725,737","4,785,119",5.5935,"6,393,477"
FSBM HOLDINGS BERHAD,"5,086,000","4,760,000",-0.0641,"1,785,000"
D'NONCE TECHNOLOGY BHD.,"46,708,000","57,671,000",0.2347,"49,003,000"
SMTRACK BERHAD,"4,652,000","2,102,000",-0.5482,"881,000"
ELSOFT RESEARCH BERHAD,"1,784,000","3,689,000",1.0678,"1,801,000"
ASDION BERHAD,"5,626,030","7,500,354",0.3332,"5,774,552"
CNERGENZ BERHAD,"23,487,000","27,258,000",0.1606,"46,834,000"
KESM INDUSTRIES BERHAD,"52,821,000","51,393,000",-0.0270,"52,805,000"
SOLUTION GROUP BERHAD,"26,300,000","7,261,000",-0.7239,"1,213,900"
N2N CONNECT BERHAD,"26,283,000","26,720,000",0.0166,"25,944,000"
DAGANG NEXCHANGE BERHAD ,"263,035,000","300,493,000",0.1424,"296,832,000"
EXCEL FORCE MSC BERHAD,"7,364,000","6,827,000",-0.0729,"6,277,000"
CLOUDPOINT TECHNOLOGY BERHAD,"26,422,000","52,302,000",0.9795,"35,591,000"
PMB TECHNOLOGY BERHAD,"209,835,000","174,871,000",-0.1666,"156,445,000"
RADIANT GLOBALTECH BERHAD,"32,566,000","53,567,000",0.6449,"37,287,000"
AIMFLEX BERHAD,"20,946,000","19,284,000",-0.0793,"11,310,000"
GO HUB CAPITAL BERHAD,"9,888,000","10,039,000",0.0153,"9,407,000"
APPASIA BERHAD,"8,219,000","7,211,000",-0.1226,"8,150,000"
GENETEC TECHNOLOGY BERHAD,"40,202,000","62,556,000",0.5560,"75,121,000"
AEON CREDIT SERVICE (M) BERHAD,"561,995,000","575,040,000",0.0232,"599,922,000"
HONG SENG CONSOLIDATED BERHAD,"11,462,103","4,617,574",-0.5971,"5,730,265"
KUCINGKO BERHAD,"8,722,000","1,454,000",-0.8333,"212,000"
SFP TECH HOLDINGS BERHAD,"47,127,000","43,572,000",-0.0754,"20,654,000"
JHM CONSOLIDATION BERHAD,"42,379,000","80,428,000",0.8978,"64,602,000"
GLOBETRONICS TECHNOLOGY BERHAD,"29,299,000","23,639,000",-0.1932,"25,027,000"
REVENUE GROUP BERHAD,"95,856,000","90,732,000",-0.0535,"59,073,000"
PINEAPPLE RESOURCES BERHAD,"9,654,000","10,327,000",0.0697,"9,187,000"
TURIYA BERHAD,"6,914,000","7,080,000",0.0240,"7,287,000"
D & O GREEN TECHNOLOGIES BERHAD,"273,249,000","261,892,000",-0.0416,"240,818,000"
SYSTECH BHD,"17,022,000","23,998,000",0.4098,"12,373,000"
